indentation(m),F_avg(N),F_std(N)
1.2325373112706233e-07,9.908154919333787e-11,5.09718207916917e-11
1.237943176670933e-07,9.998672628185324e-11,5.1290392917769334e-11
1.2433490420712428e-07,1.008919033703685e-10,5.1614021338634364e-11
1.2487549074715526e-07,1.0179708045888384e-10,5.194261154464471e-11
1.2541607728718623e-07,1.0270225754739923e-10,5.227606997142882e-11
1.259566638272172e-07,1.0360743463591458e-10,5.261430405778072e-11
1.2649725036724819e-07,1.0451261172442995e-10,5.2957222298365426e-11
1.2703783690727916e-07,1.054177888129453e-10,5.3304734291424756e-11
1.2757842344731014e-07,1.0632296590146064e-10,5.365675078167994e-11
1.281190099873411e-07,1.0722814298997595e-10,5.401318369863267e-11
1.2865959652737206e-07,1.0813332007849128e-10,5.437394619047043e-11
1.2920018306740304e-07,1.0903849716700661e-10,5.4738952653783276e-11
1.2974076960743401e-07,1.09943674255522e-10,5.510811875929981e-11
1.30281356147465e-07,1.1084885134403739e-10,5.548136147385054e-11
1.3082194268749597e-07,1.117540284325527e-10,5.585859907876365e-11
1.3136252922752694e-07,1.1265920552106804e-10,5.623975118489639e-11
1.3190311576755792e-07,1.1356438260958339e-10,5.6624738744501677e-11
1.324437023075889e-07,1.1446955969809878e-10,5.7013484060124696e-11
1.3298428884761987e-07,1.1537473678661413e-10,5.740591079072025e-11
1.3352487538765084e-07,1.1627991387512944e-10,5.7801943955174916e-11
1.3406546192768182e-07,1.171850909636448e-10,5.8201509933413624e-11
1.346060484677128e-07,1.180902680521602e-10,5.860453646526281e-11
1.3514663500774377e-07,1.1899544514067543e-10,5.901095264723664e-11
1.3568722154777475e-07,1.1990062222919084e-10,5.942068892740561e-11
1.3622780808780572e-07,1.208057993177062e-10,5.983367709850043e-11
1.367683946278367e-07,1.2171097640622153e-10,6.02498502893969e-11
1.3730898116786768e-07,1.2262592088077966e-10,6.069377194658683e-11
1.3784956770789865e-07,1.2354656343290775e-10,6.115382300968976e-11
1.3839015424792963e-07,1.2447056049336128e-10,6.162591972656451e-11
1.389307407879606e-07,1.2539650199307336e-10,6.210331694608242e-11
1.3947132732799158e-07,1.2633468785348877e-10,6.260183266967218e-11
1.4001191386802255e-07,1.2728179665062824e-10,6.311440637445397e-11
1.4055250040805353e-07,1.282757786430386e-10,6.36752933940767e-11
1.410930869480845e-07,1.2928177322260046e-10,6.425021272617238e-11
1.4163367348811548e-07,1.30323267004578e-10,6.484344933633502e-11
1.4217426002814646e-07,1.3139710725734478e-10,6.544804460040137e-11
1.4271484656817743e-07,1.3251193156021895e-10,6.605821581207757e-11
1.432554331082084e-07,1.3366764500489256e-10,6.666889902256993e-11
1.4379601964823939e-07,1.3487543622096864e-10,6.7258587589149e-11
1.4433660618827036e-07,1.361168993027919e-10,6.783276798478973e-11
1.4487719272830134e-07,1.373773325393885e-10,6.839711284634237e-11
1.454177792683323e-07,1.3865077859408776e-10,6.895320331694481e-11
1.459583658083633e-07,1.3993479049243064e-10,6.95035571332184e-11
1.4649895234839426e-07,1.4121986414803248e-10,7.006009091419958e-11
1.4703953888842524e-07,1.4250601920869076e-10,7.06224111577062e-11
1.4758012542845622e-07,1.4379217426934893e-10,7.119240027878586e-11
1.481207119684872e-07,1.4507832933000716e-10,7.176987556131193e-11
