Z(m),F_avg(N),F_std(N)
-1.866576739908032e-05,-3.65712487559154e-10,7.505936245290666e-11
-1.8565743164543294e-05,-3.648854336146887e-10,7.474538237735581e-11
-1.8465718930006266e-05,-3.6509310860478684e-10,7.422419363717575e-11
-1.8365694695469245e-05,-3.6607821979194027e-10,7.564659676878421e-11
-1.8265670460932218e-05,-3.644372749845578e-10,7.571267914763515e-11
-1.816564622639519e-05,-3.643082360146825e-10,7.438589364458133e-11
-1.8065621991858162e-05,-3.6385063610230463e-10,7.554224197576135e-11
-1.796559775732114e-05,-3.6273122911563205e-10,7.491336540637639e-11
-1.7865573522784114e-05,-3.619764369852481e-10,7.537430971301906e-11
-1.7765549288247086e-05,-3.6176405314715143e-10,7.548653364481524e-11
-1.7665525053710065e-05,-3.596553778682523e-10,7.442096514246411e-11
-1.7565500819173037e-05,-3.5963922816783883e-10,7.567325364417271e-11
-1.746547658463601e-05,-3.60807912737695e-10,7.393738729168742e-11
-1.7365452350098982e-05,-3.603906084100223e-10,7.361911461267254e-11
-1.726542811556196e-05,-3.593335674031497e-10,7.345611618235705e-11
-1.7165403881024933e-05,-3.5889436489575e-10,7.403028126739145e-11
-1.7065379646487906e-05,-3.5662542619148205e-10,7.424726891192935e-11
-1.6965355411950885e-05,-3.578114680833949e-10,7.488908431643867e-11
-1.6865331177413857e-05,-3.573492183770374e-10,7.538761894652541e-11
-1.676530694287683e-05,-3.5718554382895683e-10,7.371015613457205e-11
-1.66652827083398e-05,-3.5755219888508606e-10,7.308031876639007e-11
-1.656525847380278e-05,-3.563001778146209e-10,7.240108016298974e-11
-1.6465234239265753e-05,-3.557076665598602e-10,7.483417030004213e-11
-1.6365210004728725e-05,-3.564790398559049e-10,7.347478511055346e-11
-1.6265185770191698e-05,-3.566979760378667e-10,7.342008362761435e-11
-1.6165161535654677e-05,-3.5532429288862777e-10,7.353886509211175e-11
-1.606513730111765e-05,-3.550597776700521e-10,7.324208139981417e-11
-1.596511306658062e-05,-3.5353477836690126e-10,7.299966479201539e-11
-1.58650888320436e-05,-3.5448456775982506e-10,7.222760060071225e-11
-1.5765064597506573e-05,-3.525699966994848e-10,7.312006168841858e-11
-1.5665040362969545e-05,-3.5192517002006625e-10,7.415636914453053e-11
-1.5565016128432517e-05,-3.5308097872519795e-10,7.361219820228602e-11
-1.5464991893895496e-05,-3.518123027313383e-10,7.296226928775032e-11
-1.536496765935847e-05,-3.5048023142548697e-10,7.192609864857727e-11
-1.526494342482144e-05,-3.503476560412822e-10,7.284938829561982e-11
-1.5164919190284413e-05,-3.5009190902534286e-10,7.43182957560353e-11
-1.5064894955747392e-05,-3.499477787028606e-10,7.403167424357672e-11
-1.4964870721210365e-05,-3.4924504000168547e-10,7.302471089027005e-11
-1.4864846486673337e-05,-3.4881628156658967e-10,7.383634949519766e-11
-1.4764822252136316e-05,-3.487645104625739e-10,7.261138939715797e-11
-1.4664798017599288e-05,-3.4700592279319397e-10,7.292188049550004e-11
-1.456477378306226e-05,-3.478127825880675e-10,7.411211485867917e-11
-1.4464749548525233e-05,-3.467665211645547e-10,7.306860686137782e-11
-1.4364725313988212e-05,-3.4589857901406e-10,7.206768950222447e-11
-1.4264701079451184e-05,-3.4590121926490183e-10,7.290946445931333e-11
-1.4164676844914156e-05,-3.4587309318602125e-10,7.215939806500399e-11
-1.4064652610377129e-05,-3.449950291100494e-10,7.290682613516045e-11
-1.3964628375840108e-05,-3.4641538956217404e-10,7.16216832196673e-11
-1.386460414130308e-05,-3.4481138437081994e-10,7.279751164384421e-11
-1.3764579906766052e-05,-3.4369851948109356e-10,7.242646388399806e-11
-1.3664555672229031e-05,-3.4306779514360526e-10,7.243002618279873e-11
-1.3564531437692004e-05,-3.409903989594461e-10,7.252026577334093e-11
-1.3464507203154976e-05,-3.4133032813118287e-10,7.142514068499666e-11
-1.3364482968617948e-05,-3.40844585288279e-10,7.23758497126608e-11
-1.3264458734080927e-05,-3.402686148083e-10,7.215109048095723e-11
-1.31644344995439e-05,-3.39280631037754e-10,7.344090115508932e-11
-1.3064410265006872e-05,-3.40313596096312e-10,7.30871241915284e-11
-1.2964386030469851e-05,-3.3866193486965426e-10,7.253427729519012e-11
-1.2864361795932823e-05,-3.3748097517880714e-10,7.154088560026149e-11
-1.2764337561395796e-05,-3.372981006919496e-10,7.320519350977189e-11
-1.2664313326858768e-05,-3.374472904847595e-10,7.232563586197293e-11
-1.2564289092321747e-05,-3.3739264804935966e-10,7.145165763538159e-11
-1.246426485778472e-05,-3.3733764390263516e-10,7.215859233477358e-11
-1.2364240623247692e-05,-3.35135760140834e-10,7.204856077957493e-11
-1.2264216388710664e-05,-3.3475988037937225e-10,7.21740794099871e-11
-1.2164192154173643e-05,-3.3550308527068237e-10,7.278944561381943e-11
-1.2064167919636615e-05,-3.3294903644621794e-10,7.317685059843174e-11
-1.1964143685099588e-05,-3.3239160303933136e-10,7.086636431693203e-11
-1.1864119450562567e-05,-3.325586783142457e-10,7.145066872505158e-11
-1.1764095216025539e-05,-3.3031577759837567e-10,7.270780536557542e-11
-1.1664070981488511e-05,-3.298686863225261e-10,7.088449816603289e-11
-1.1564046746951484e-05,-3.313308182589216e-10,7.232901264140859e-11
-1.1464022512414463e-05,-3.2913506207514767e-10,7.16217103819224e-11
-1.1363998277877435e-05,-3.2832155227559055e-10,7.171194311150233e-11
-1.1263974043340407e-05,-3.2764410015414e-10,7.076615439092112e-11
-1.116394980880338e-05,-3.263890005289116e-10,7.135026127159025e-11
